STATEFIPS,STATE,zipcode,Low_income,Total_Pop
34,NJ,7002,35.31,31780
34,NJ,7029,38.4,9140
34,NJ,7030,12.6,29050
34,NJ,7032,38.4,18880
34,NJ,7047,42.16,29200
34,NJ,7086,25.1,7690
34,NJ,7087,50.69,31840
34,NJ,7093,45.09,29250
34,NJ,7094,23.47,9630
34,NJ,7302,13.86,25030
34,NJ,7304,43.81,22210
34,NJ,7305,43.05,30080
34,NJ,7306,38.32,26200
34,NJ,7307,37.06,21260
34,NJ,7310,14.45,7060
34,NJ,7311,7.14,560
36,NY,6390,26.67,150
36,NY,10001,25.76,14520
36,NY,10002,50.21,42180
36,NY,10003,17.55,28660
36,NY,10004,14.52,2480
36,NY,10005,11.62,5940
36,NY,10006,13.08,2370
36,NY,10007,13.66,3440
36,NY,10009,29.5,32410
36,NY,10010,14.75,17360
36,NY,10011,17.11,29920
36,NY,10012,19.17,12470
36,NY,10013,28.51,14940
36,NY,10014,14.84,18660
36,NY,10016,16.19,31940
36,NY,10017,15.36,11850
36,NY,10018,22.38,6390
36,NY,10019,19.59,25110
36,NY,10021,14.7,23530
36,NY,10022,13.96,19840
36,NY,10023,17.35,34070
36,NY,10024,18.78,30410
36,NY,10025,27.38,45610
36,NY,10026,38.25,18040
36,NY,10027,42.27,27180
36,NY,10028,15.62,25100
36,NY,10029,47.32,35060
36,NY,10030,47.62,13630
36,NY,10031,47.17,29340
36,NY,10032,49.11,29300
36,NY,10033,47.53,26930
36,NY,10034,46.18,20140
36,NY,10035,46.53,15130
36,NY,10036,23.93,18720
36,NY,10037,36.75,10530
36,NY,10038,28.45,12090
36,NY,10039,47.03,13290
36,NY,10040,45.96,21300
36,NY,10044,27,4260
36,NY,10065,14.89,15780
36,NY,10069,12.8,2890
36,NY,10075,15.34,14080
36,NY,10119,17.24,290
36,NY,10128,17.88,32950
36,NY,10162,13.33,750
36,NY,10165,0,100
36,NY,10170,18.52,270
36,NY,10280,11.43,4200
36,NY,10282,9.52,2310
36,NY,10301,35.9,18080
36,NY,10302,39.85,8080
36,NY,10303,43.39,12170
36,NY,10304,41.78,19720
36,NY,10305,34.72,19300
36,NY,10306,30.74,26840
36,NY,10307,27.54,6500
36,NY,10308,27.75,13620
36,NY,10309,27.33,15000
36,NY,10310,38.13,11460
36,NY,10312,26.89,29230
36,NY,10314,30.27,40740
36,NY,10451,52.51,23290
36,NY,10452,58.98,36200
36,NY,10453,61.91,37600
36,NY,10454,61.49,15840
36,NY,10455,57.93,17780
36,NY,10456,60.71,40390
36,NY,10457,61.12,32720
36,NY,10458,57.75,34320
36,NY,10459,57.71,21280
36,NY,10460,58.12,25120
36,NY,10461,35.62,24090
36,NY,10462,40.7,39510
36,NY,10463,36.51,33940
36,NY,10464,25.81,2170
36,NY,10465,31.52,19700
36,NY,10466,45.02,32740
36,NY,10467,49.6,44640
36,NY,10468,56.7,35660
36,NY,10469,41.02,32670
36,NY,10470,37.08,7660
36,NY,10471,23.44,10070
36,NY,10472,56.06,28880
36,NY,10473,45.61,27910
36,NY,10474,58.22,5050
36,NY,10475,32.43,22790
36,NY,10501,27.14,700
36,NY,10502,22.89,2840
36,NY,10503,0,120
36,NY,10504,20.38,4710
36,NY,10505,31.34,670
36,NY,10506,25.18,2820
36,NY,10507,30.45,2660
36,NY,10509,29.32,9960
36,NY,10510,21.64,4760
36,NY,10511,28.45,1160
36,NY,10512,26.78,12510
36,NY,10514,22.2,5360
36,NY,10516,25.18,2740
36,NY,10517,25,440
36,NY,10518,27.03,740
36,NY,10519,25,280
36,NY,10520,24.03,6450
36,NY,10522,21.95,5240
36,NY,10523,30.37,4840
36,NY,10524,24.77,2140
36,NY,10526,24.24,990
36,NY,10527,20.45,440
36,NY,10528,26.1,5900
36,NY,10530,19.75,7240
36,NY,10532,22.69,2600
36,NY,10533,21.07,3750
36,NY,10535,30.95,420
36,NY,10536,25.9,5250
36,NY,10537,28.8,1250
36,NY,10538,20.62,8050
36,NY,10541,27.44,12680
36,NY,10543,28.06,9730
36,NY,10545,78.95,190
36,NY,10546,22.22,720
36,NY,10547,28.53,3680
36,NY,10548,26.42,1590
36,NY,10549,31.99,8190
36,NY,10550,44.96,19060
36,NY,10552,27.59,10910
36,NY,10553,35.76,5900
36,NY,10560,23.83,2140
36,NY,10562,30.7,15930
36,NY,10566,36.6,12240
36,NY,10567,24.97,9810
36,NY,10570,24.67,6040
36,NY,10573,35.79,18890
36,NY,10576,22.89,2490
36,NY,10577,27.1,1550
36,NY,10578,26.19,420
36,NY,10579,23.09,4330
36,NY,10580,24.22,8010
36,NY,10583,21.41,18730
36,NY,10588,25.93,1350
36,NY,10589,19.65,4580
36,NY,10590,23.13,3200
36,NY,10591,29.94,11990
36,NY,10594,25.1,2550
36,NY,10595,23.75,3200
36,NY,10596,30.23,860
36,NY,10597,24,500
36,NY,10598,24.59,14560
36,NY,10601,28.93,6050
36,NY,10603,28.18,9970
36,NY,10604,30.36,5600
36,NY,10605,24.26,10100
36,NY,10606,36.59,8280
36,NY,10607,27.3,4030
36,NY,10701,42.49,28780
36,NY,10703,36.18,10640
36,NY,10704,28.5,16980
36,NY,10705,43.49,18510
36,NY,10706,21.51,4510
36,NY,10707,24.62,5200
36,NY,10708,20.67,11320
36,NY,10709,24.33,4850
36,NY,10710,25.37,14110
36,NY,10801,37.16,18460
36,NY,10803,22.17,6000
36,NY,10804,21.05,7080
36,NY,10805,30.91,9220
36,NY,10901,28.61,11430
36,NY,10913,26.15,2600
36,NY,10914,22.86,350
36,NY,10915,36.84,190
36,NY,10916,27.4,2190
36,NY,10917,31.68,1010
36,NY,10918,28.07,5700
36,NY,10919,29.51,610
36,NY,10920,26.89,4500
36,NY,10921,28.17,2130
36,NY,10922,25.61,820
36,NY,10923,33.06,4870
36,NY,10924,28.48,6180
36,NY,10925,29.63,2430
36,NY,10926,28.95,1900
36,NY,10927,48.61,6110
36,NY,10928,32.89,2250
36,NY,10930,28.31,4310
36,NY,10931,35.29,510
36,NY,10932,31.58,190
36,NY,10933,31.82,220
36,NY,10940,36.73,24230
36,NY,10941,31.19,6990
36,NY,10950,37.74,17490
36,NY,10952,43.77,12200
36,NY,10953,25,200
36,NY,10954,28.59,12380
36,NY,10956,25.74,15970
36,NY,10958,30.43,1610
36,NY,10960,29.84,7740
36,NY,10962,25.59,2540
36,NY,10963,30.83,1200
36,NY,10964,22.67,750
36,NY,10965,24.97,7890
36,NY,10968,19.53,1280
36,NY,10969,30.77,650
36,NY,10970,28.74,5220
36,NY,10973,31.58,1140
36,NY,10974,29.49,1560
36,NY,10975,29.41,170
36,NY,10976,37.65,850
36,NY,10977,45.54,24330
36,NY,10979,40,100
36,NY,10980,28.43,7070
36,NY,10983,23.83,2980
36,NY,10984,23.7,1350
36,NY,10985,26.67,150
36,NY,10986,27.66,940
36,NY,10987,31.75,1890
36,NY,10988,33.33,360
36,NY,10989,23.81,5040
36,NY,10990,29.11,9790
36,NY,10992,28.96,4730
36,NY,10993,38.74,2530
36,NY,10994,25.32,3870
36,NY,10996,29.36,1090
36,NY,10998,27.1,1550
36,NY,11001,27.76,13870
36,NY,11003,34.4,23980
36,NY,11004,29.39,6840
36,NY,11005,14.48,1450
36,NY,11010,27.8,12660
36,NY,11020,28.85,3050
36,NY,11021,22.93,9290
36,NY,11023,24.87,3980
36,NY,11024,30.38,3160
36,NY,11030,21.89,8590
36,NY,11040,25.94,21320
36,NY,11042,21.74,460
36,NY,11050,27.41,15030
36,NY,11096,48.78,4100
36,NY,11101,30.92,18530
36,NY,11102,35.43,19250
36,NY,11103,34.04,20830
36,NY,11104,34.61,15110
36,NY,11105,32.54,19670
36,NY,11106,34.96,21880
36,NY,11109,10.11,3560
36,NY,11201,18.45,31970
36,NY,11203,42.66,37760
36,NY,11204,50.03,33200
36,NY,11205,37.29,18770
36,NY,11206,47.57,36490
36,NY,11207,51.62,43530
36,NY,11208,53.83,44010
36,NY,11209,32.1,34110
36,NY,11210,39.29,29470
36,NY,11211,32.5,30950
36,NY,11212,53.87,38370
36,NY,11213,45.9,29300
36,NY,11214,48.21,40860
36,NY,11215,19.19,32930
36,NY,11216,35.87,29020
36,NY,11217,22.31,19230
36,NY,11218,40.34,33120
36,NY,11219,60.13,33910
36,NY,11220,67.01,53900
36,NY,11221,44.23,39520
36,NY,11222,26.14,22570
36,NY,11223,47.37,32740
36,NY,11224,50,20240
36,NY,11225,38.46,30600
36,NY,11226,44.86,52070
36,NY,11228,41.91,19710
36,NY,11229,40.85,36350
36,NY,11230,42.83,35490
36,NY,11231,25.38,17020
36,NY,11232,48.91,12860
36,NY,11233,45.06,31980
