Loading projection matrices.
Loading images.
Loading silhouettes.
Creating camera objects.
Creating voxel grid.
Processing voxels.
Creating PLY file.
Determining point colors.
Done.
         10027682 function calls (10003032 primitive calls) in 11.618 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.001   11.620    5.810 main.py:1(<module>)
   1326/1    0.003    0.000   11.619   11.619 {built-in method builtins.exec}
        1    0.001    0.001   10.679   10.679 main.py:108(main)
        1    0.002    0.002    7.142    7.142 main.py:75(create_ply)
      494    1.937    0.004    7.107    0.014 VoxelGrid.py:87(calc_color)
        1    0.933    0.933    3.412    3.412 main.py:29(process_voxels)
   186272    2.813    0.000    2.887    0.000 VoxelGrid.py:31(get_voxel)
   630685    1.659    0.000    2.090    0.000 Camera.py:45(get_silhouette_presence)
      113    0.003    0.000    1.877    0.017 __init__.py:1(<module>)
   366012    0.139    0.000    1.594    0.000 <__array_function__ internals>:2(array_equal)
   385966    0.156    0.000    1.469    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   366012    0.512    0.000    1.304    0.000 numeric.py:2385(array_equal)
  1131/12    0.005    0.000    0.969    0.081 <frozen importlib._bootstrap>:1022(_find_and_load)
  1124/12    0.003    0.000    0.968    0.081 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1081/13    0.003    0.000    0.967    0.074 <frozen importlib._bootstrap>:664(_load_unlocked)
  1002/13    0.002    0.000    0.966    0.074 <frozen importlib._bootstrap_external>:877(exec_module)
  1473/14    0.001    0.000    0.946    0.068 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.757    0.757 Camera.py:1(<module>)
   618/89    0.001    0.000    0.651    0.007 {built-in method builtins.__import__}
4050/3333    0.005    0.000    0.539    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   366012    0.103    0.000    0.528    0.000 {method 'all' of 'numpy.ndarray' objects}
   366012    0.072    0.000    0.424    0.000 _methods.py:60(_all)
20464/16440    0.018    0.000    0.404    0.000 decorators.py:58(__sympifyit_wrapper)
   632515    0.387    0.000    0.387    0.000 Camera.py:23(project)
   366012    0.352    0.000    0.352    0.000 {method 'reduce' of 'numpy.ufunc' objects}
3266/2814    0.026    0.000    0.287    0.000 {built-in method builtins.__build_class__}
  1098132    0.264    0.000    0.264    0.000 {built-in method numpy.asarray}
    16647    0.028    0.000    0.251    0.000 sympify.py:101(sympify)
   600988    0.248    0.000    0.248    0.000 VoxelGrid.py:75(index_to_coords)
16000/15904    0.061    0.000    0.213    0.000 numbers.py:1036(__new__)
        2    0.000    0.000    0.188    0.094 Image.py:1(<module>)
        1    0.000    0.000    0.176    0.176 Camera.py:10(Camera)
     44/1    0.000    0.000    0.176    0.176 decorators.py:189(wrapper)
     1002    0.006    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     3952    0.046    0.000    0.165    0.000 VoxelGrid.py:12(vec_len)
        1    0.000    0.000    0.151    0.151 dispatcher.py:915(compile)
        1    0.000    0.000    0.151    0.151 caching.py:639(load_overload)
    171/1    0.000    0.000    0.145    0.145 base.py:269(refresh)
     1099    0.006    0.000    0.126    0.000 <frozen importlib._bootstrap>:921(_find_spec)
1081/1066    0.001    0.000    0.118    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
