qid1	token	tfidf
4252472	java	1.8785206956897553
4252472	launch	6.132106876910448
4252472	error	3.176103733024332
4252472	selection	6.744786450703997
4252472	contain	5.186060684202369
4252472	main	3.997962230105802
4252472	type	3.5272028792972696
1662766	tool	5.582273057259004
1662766	deobfuscate	0
1662766	java	1.8785206956897553
1662766	codes	6.219118253900078
3302177	android	3.9805160018734465
3302177	activity	5.215816145036293
3302177	constructor	4.514141887640528
3302177	vs	5.934706213289373
3302177	oncreate	6.67982321093613
35172561	error	3.176103733024332
35172561	creating	4.385713422531877
35172561	bean	5.129081049302737
35172561	org	9.873468972513443
35172561	springframework	13.287707470391519
35172561	security	10.451249362309191
35172561	cannot	4.027826751171789
35172561	resolve	5.734344780238841
35172561	web	4.103425670958293
28014891	spring	3.989984546897858
28014891	possible	3.7755272608396084
28014891	get	2.5968621982790188
28014891	packages	6.163439811847792
28014891	registered	6.836365282895464
28014891	componentscan	8.740336742730447
2705548	parse	5.073734851039573
2705548	rss	8.166536319803068
2705548	pubdate	10.819778284410283
2705548	date	4.685296230467376
2705548	object	3.159616840993279
2705548	java	1.8785206956897553
1578434	java	1.8785206956897553
1578434	rmi	6.985716820451849
35130180	constructor	4.514141887640528
35130180	allowed	5.829005619410279
35130180	abstract	5.62848949062077
35130180	class	2.532413437836977
35130180	interface	4.359248047784542
19814713	public	4.769219697994597
19814713	type	3.5272028792972696
19814713	classname	7.512891582219369
19814713	must	4.223383205234504
19814713	defined	4.803865056899991
19814713	file	2.8771673214517413
19814713	error	3.176103733024332
19814713	eclipse	4.07925892480406
3435667	problems	4.925237718584027
3435667	arise	8.458924283292262
3435667	use	2.218391014198033
3435667	deprecated	6.67982321093613
3435667	methods	3.819352670586838
3435667	functions	5.596453896903676
3435667	java	1.8785206956897553
19712745	continue	6.147884466379284
19712745	execution	5.456844274776274
19712745	even	3.8952642216131914
19712745	program	3.8336740390171697
19712745	catches	8.258682496264736
19712745	exception	3.8413315773056134
7161534	fastest	7.799353398265921
7161534	way	2.8885474230074775
7161534	strip	8.149083869851841
7161534	non	4.700910458268927
7161534	printable	8.444872529836612
7161534	characters	5.102586122844165
7161534	java	1.8785206956897553
7161534	string	3.105212374172812
22842743	setting	4.886075274160849
22842743	java	1.8785206956897553
22842743	home	5.642781453098802
22842743	environment	5.2816569256549295
